Date,Ticker,BRIGADE.NS,DLF.NS,GODREJPROP.NS,IBREALEST.NS,LODHA.NS,OBEROIRLTY.NS,PHOENIXLTD.NS,PRESTIGE.NS,SOBHA.NS,SUNTECK.NS
2004-12-30,Volume,,,,842884.0,,,,,,
2004-12-31,Adj Close,,,,70.132568359375,,,,,,
2004-12-31,Close,,,,80.25,,,,,,
2004-12-31,High,,,,82.80000305175781,,,,,,
2004-12-31,Low,,,,79.05000305175781,,,,,,
2004-12-31,Open,,,,81.0,,,,,,
2004-12-31,Volume,,,,661477.0,,,,,,
2005-01-03,Adj Close,,,,73.67195892333984,,,,,,
2005-01-03,Close,,,,84.30000305175781,,,,,,
2005-01-03,High,,,,84.30000305175781,,,,,,
2005-01-03,Low,,,,84.30000305175781,,,,,,
2005-01-03,Open,,,,84.30000305175781,,,,,,
2005-01-03,Volume,,,,127092.0,,,,,,
2005-01-04,Adj Close,,,,77.38615417480469,,,,,,
2005-01-04,Close,,,,88.55000305175781,,,,,,
2005-01-04,High,,,,88.55000305175781,,,,,,
2005-01-04,Low,,,,88.55000305175781,,,,,,
2005-01-04,Open,,,,88.55000305175781,,,,,,
2005-01-04,Volume,,,,179078.0,,,,,,
2005-01-05,Adj Close,,,,74.6332778930664,,,,,,
2005-01-05,Close,,,,85.4000015258789,,,,,,
2005-01-05,High,,,,93.0,,,,,,
2005-01-05,Low,,,,84.1500015258789,,,,,,
2005-01-05,Open,,,,92.44999694824219,,,,,,
2005-01-05,Volume,,,,2908341.0,,,,,,
2005-01-06,Adj Close,,,,70.9627914428711,,,,,,
2005-01-06,Close,,,,81.19999694824219,,,,,,
2005-01-06,High,,,,85.9000015258789,,,,,,
2005-01-06,Low,,,,81.1500015258789,,,,,,
2005-01-06,Open,,,,85.9000015258789,,,,,,
2005-01-06,Volume,,,,821354.0,,,,,,
2005-01-07,Adj Close,,,,70.70060729980469,,,,,,
2005-01-07,Close,,,,80.9000015258789,,,,,,
2005-01-07,High,,,,84.5,,,,,,
2005-01-07,Low,,,,80.05000305175781,,,,,,
2005-01-07,Open,,,,82.9000015258789,,,,,,
2005-01-07,Volume,,,,601284.0,,,,,,
2005-01-10,Adj Close,,,,74.24000549316406,,,,,,
2005-01-10,Close,,,,84.94999694824219,,,,,,
2005-01-10,High,,,,84.94999694824219,,,,,,
2005-01-10,Low,,,,81.0,,,,,,
2005-01-10,Open,,,,82.9000015258789,,,,,,
2005-01-10,Volume,,,,1184259.0,,,,,,
2005-01-11,Adj Close,,,,73.67195892333984,,,,,,
2005-01-11,Close,,,,84.30000305175781,,,,,,
2005-01-11,High,,,,89.0999984741211,,,,,,
2005-01-11,Low,,,,83.19999694824219,,,,,,
2005-01-11,Open,,,,86.9000015258789,,,,,,
2005-01-11,Volume,,,,860128.0,,,,,,
2005-01-12,Adj Close,,,,70.52582550048828,,,,,,
2005-01-12,Close,,,,80.69999694824219,,,,,,
2005-01-12,High,,,,86.4000015258789,,,,,,
2005-01-12,Low,,,,80.0999984741211,,,,,,
2005-01-12,Open,,,,84.30000305175781,,,,,,
2005-01-12,Volume,,,,778419.0,,,,,,
2005-01-13,Adj Close,,,,74.06523132324219,,,,,,
2005-01-13,Close,,,,84.75,,,,,,
2005-01-13,High,,,,84.75,,,,,,
2005-01-13,Low,,,,84.75,,,,,,
2005-01-13,Open,,,,84.75,,,,,,
2005-01-13,Volume,,,,84470.0,,,,,,
2005-01-14,Adj Close,,,,72.0114974975586,,,,,,
2005-01-14,Close,,,,82.4000015258789,,,,,,
2005-01-14,High,,,,89.0,,,,,,
2005-01-14,Low,,,,81.4000015258789,,,,,,
2005-01-14,Open,,,,89.0,,,,,,
